keyword,raw_counts,frequency,keyness
修正案,7,0.0005435204596630173,0.0
公布,7,0.0005435204596630173,0.0
再度,7,0.0005435204596630173,0.0
分配,7,0.0005435204596630173,0.0
區劃,7,0.0005435204596630173,1.4000000000000001
國內,7,0.0005435204596630173,0.0
多,7,0.0005435204596630173,0.0
家庭,7,0.0005435204596630173,0.0
專門,7,0.0005435204596630173,0.0
導致,7,0.0005435204596630173,0.0
廣播,7,0.0005435204596630173,0.0
建教,7,0.0005435204596630173,1.4000000000000001
投票,7,0.0005435204596630173,0.0
推動,7,0.0005435204596630173,0.0
整體,7,0.0005435204596630173,0.0
機會,7,0.0005435204596630173,0.0
次,7,0.0005435204596630173,0.0
民國,7,0.0005435204596630173,0.0
災害,7,0.0005435204596630173,0.0
猥褻,7,0.0005435204596630173,0.2
目前,7,0.0005435204596630173,0.0
目的,7,0.0005435204596630173,0.0
第三,7,0.0005435204596630173,0.0
第二十五,7,0.0005435204596630173,0.4
管碧玲,7,0.0005435204596630173,1.4000000000000001
統計,7,0.0005435204596630173,0.0
經濟,7,0.0005435204596630173,0.0
罰責,7,0.0005435204596630173,1.4000000000000001
行人,7,0.0005435204596630173,0.0
衛星,7,0.0005435204596630173,0.0
衛生,7,0.0005435204596630173,0.0
趙天麟,7,0.0005435204596630173,1.4000000000000001
身心,7,0.0005435204596630173,0.0
近來,7,0.0005435204596630173,0.0
進行,7,0.0005435204596630173,0.0
違法,7,0.0005435204596630173,0.0
防制,7,0.0005435204596630173,0.2
障礙,7,0.0005435204596630173,0.0
領有,7,0.0005435204596630173,0.0
高級,7,0.0005435204596630173,0.0
一再,6,0.0004658746797111577,0.0
三,6,0.0004658746797111577,0.0
事件,6,0.0004658746797111577,0.0
人才,6,0.0004658746797111577,0.0
他命,6,0.0004658746797111577,1.2000000000000002
代表,6,0.0004658746797111577,0.0
以致,6,0.0004658746797111577,0.0
保費,6,0.0004658746797111577,0.0
倍,6,0.0004658746797111577,0.0
僅,6,0.0004658746797111577,0.0
入學,6,0.0004658746797111577,0.0
公立,6,0.0004658746797111577,0.0
兵役法,6,0.0004658746797111577,1.2000000000000002
制定,6,0.0004658746797111577,0.0
制度,6,0.0004658746797111577,0.0
前,6,0.0004658746797111577,0.0
危害,6,0.0004658746797111577,0.0
受,6,0.0004658746797111577,0.0
另,6,0.0004658746797111577,0.0
國民,6,0.0004658746797111577,0.0
地區,6,0.0004658746797111577,0.0
基本,6,0.0004658746797111577,0.0
報導,6,0.0004658746797111577,0.0
外役監,6,0.0004658746797111577,1.2000000000000002
實習生,6,0.0004658746797111577,1.2000000000000002
審查,6,0.0004658746797111577,0.0
專業,6,0.0004658746797111577,0.0
工作,6,0.0004658746797111577,0.0
強制,6,0.0004658746797111577,0.0
必須,6,0.0004658746797111577,0.0
性侵犯,6,0.0004658746797111577,0.4
情形,6,0.0004658746797111577,0.0
憲法,6,0.0004658746797111577,0.0
應考,6,0.0004658746797111577,0.2
所得,6,0.0004658746797111577,0.0
所得稅法,6,0.0004658746797111577,1.2000000000000002
所需,6,0.0004658746797111577,1.2000000000000002
技術人員,6,0.0004658746797111577,0.0
授權,6,0.0004658746797111577,0.0
採驗,6,0.0004658746797111577,1.2000000000000002
效果,6,0.0004658746797111577,0.0
教育法,6,0.0004658746797111577,0.6000000000000001
新聞,6,0.0004658746797111577,0.0
月退俸,6,0.0004658746797111577,1.2000000000000002
服務,6,0.0004658746797111577,0.0
未滿,6,0.0004658746797111577,0.0
本,6,0.0004658746797111577,0.0
林佳龍,6,0.0004658746797111577,1.2000000000000002
機構,6,0.0004658746797111577,0.0
法規,6,0.0004658746797111577,0.0
特別,6,0.0004658746797111577,0.0
獸鋏,6,0.0004658746797111577,1.2000000000000002
用路人,6,0.0004658746797111577,1.2000000000000002
監獄,6,0.0004658746797111577,0.0
禁止,6,0.0004658746797111577,0.0
第八,6,0.0004658746797111577,0.0
第十七,6,0.0004658746797111577,0.0
考量,6,0.0004658746797111577,0.0
落實,6,0.0004658746797111577,0.0
說明,6,0.0004658746797111577,0.0
議題,6,0.0004658746797111577,0.0
財政,6,0.0004658746797111577,0.0
身體,6,0.0004658746797111577,0.0
違反,6,0.0004658746797111577,0.0
配偶,6,0.0004658746797111577,0.0
配合,6,0.0004658746797111577,0.0
醫事,6,0.0004658746797111577,0.0
間,6,0.0004658746797111577,0.0
關係,6,0.0004658746797111577,0.0
防救,6,0.0004658746797111577,1.2000000000000002
難以,6,0.0004658746797111577,0.0
預算,6,0.0004658746797111577,0.0
一定,5,0.00038822889975929806,0.0
一日,5,0.00038822889975929806,0.0
不僅,5,0.00038822889975929806,0.0
不足,5,0.00038822889975929806,0.0
之效,5,0.00038822889975929806,1.0
件,5,0.00038822889975929806,0.0
作業,5,0.00038822889975929806,0.0
使得,5,0.00038822889975929806,0.0
促進,5,0.00038822889975929806,0.0
保險法,5,0.00038822889975929806,0.2
傑等,5,0.00038822889975929806,1.0
兒少,5,0.00038822889975929806,1.0
公教人員,5,0.00038822889975929806,1.0
共同,5,0.00038822889975929806,0.0
具有,5,0.00038822889975929806,0.0
刑責,5,0.00038822889975929806,0.0
午餐,5,0.00038822889975929806,0.0
問題,5,0.00038822889975929806,0.0
國防部,5,0.00038822889975929806,0.0
外籍,5,0.00038822889975929806,0.0
大學,5,0.00038822889975929806,0.0
大量,5,0.00038822889975929806,0.0
姓名,5,0.00038822889975929806,0.0
委員會,5,0.00038822889975929806,0.0
實際,5,0.00038822889975929806,0.0
少年,5,0.00038822889975929806,0.0
就業,5,0.00038822889975929806,0.0
差距,5,0.00038822889975929806,0.0
從事,5,0.00038822889975929806,0.0
成長,5,0.00038822889975929806,0.0
托育,5,0.00038822889975929806,0.0
扣除額,5,0.00038822889975929806,1.0
接受,5,0.00038822889975929806,0.0
措施,5,0.00038822889975929806,0.0
損害,5,0.00038822889975929806,0.0
救助,5,0.00038822889975929806,0.0
